,count,values
premis.object.originalName.@value,1,"['%transferDirectory%objects/LETTER.wpd', '%transferDirectory%objects/vDos.exe']"
premis.rights.rightsStatement.rightsStatementIdentifier.rightsStatementIdentifierType.@value,1,['local']
premis.object.environmentDesignation.environmentName.@value,1,"['Disk Operating System', 'Windows', 'WordPerfect for DOS', 'vDos']"
premis.rights.rightsStatement.rightsBasis.@value,1,['Copyright']
premis.event.linkingAgentIdentifier.linkingAgentIdentifierType.@value,1,['local']
premis.object.objectIdentifier.objectIdentifierValue.@value,1,"['001', '002', '003', '004', '005', '006', '007']"
premis.object.relationship.relationshipType.authorityURI,1,['http://id.loc.gov/vocabulary/preservation/relationshipType']
premis.object.objectCharacteristics.inhibitors.inhibitorType.valueURI,1,['http://id.loc.gov/vocabulary/preservation/inhibitorType/pas']
premis.event.linkingObjectIdentifier.linkingObjectIdentifierValue.@value,1,['001']
premis.object.storage.storageMedium.authority,1,['storageMedium']
premis.object.relationship.relationshipSubType.valueURI,1,"['http://id.loc.gov/vocabulary/preservation/relationshipSubType/hsp', 'http://id.loc.gov/vocabulary/preservation/relationshipSubType/iem', 'http://id.loc.gov/vocabulary/preservation/relationshipSubType/isp', 'http://id.loc.gov/vocabulary/preservation/relationshipSubType/rep', 'http://id.loc.gov/vocabulary/preservation/relationshipSubType/req']"
premis.agent.agentType.authorityURI,1,['http://id.loc.gov/vocabulary/preservation/agentType']
premis.object.objectCharacteristics.inhibitors.inhibitorType.authority,1,['inhibitorType']
premis.object.relationship.relatedEnvironmentPurpose.@value,1,['render']
premis.rights.rightsStatement.rightsGranted.termOfGrant.startDate.@value,1,['2014-04-16']
premis.object.objectCharacteristics.fixity.messageDigestAlgorithm.@value,1,['SHA-256']
premis.object.environmentFunction.environmentFunctionType.@value,1,"['operating system', 'software', 'software application']"
premis.event.eventDetailInformation.eventDetail.@value,1,"['program=""fido""']"
premis.object.storage.storageMedium.valueURI,1,['http://id.loc.gov/vocabulary/preservation/storageMedium/har']
premis.object.objectCharacteristics.inhibitors.inhibitorTarget.authorityURI,1,['http://id.loc.gov/vocabulary/preservation/inhibitorTarget']
premis.object.significantProperties.significantPropertiesType.@value,1,"['behavior', 'character count', 'line count', 'paragraph count', 'word count']"
